,date,pred,scale,actual,trgt,net_pnl
40,2015-03-05,0.0,0.0,-1,0.019181248521345288,0.0
41,2015-03-06,0.0,0.0,-1,0.021711167430170486,0.0
42,2015-03-09,0.0,0.0,-1,0.02081198669826706,0.0
43,2015-03-10,1.0,0.14149062098358084,1,0.026245946476095565,0.1360998750119516
44,2015-03-11,1.0,0.27472577694569444,1,0.02529060245701475,0.2638634451732172
45,2015-03-12,0.0,0.0,1,0.025149064942835968,0.0
46,2015-03-13,1.0,0.05909402347266277,1,0.02410116868968628,0.05664220993532121
47,2015-03-16,0.0,0.0,1,0.026215558176133996,0.0
48,2015-03-17,0.0,0.0,1,0.02497895283942193,0.0
49,2015-03-18,1.0,0.9259065052220419,1,0.025217884071574367,0.8891916964860882
50,2015-03-19,1.0,0.7227576724245042,-1,0.023983187707442493,-0.7528924295920453
51,2015-03-20,0.0,0.0,-1,0.023389182270886474,0.0
52,2015-03-23,1.0,0.3783133396025672,-1,0.022615752392854283,-0.39504046881330634
53,2015-03-24,1.0,0.02185584255059602,-1,0.021920784090268163,-0.022852834513503756
54,2015-03-25,0.0,0.0,1,0.030169073319547587,0.0
55,2015-03-26,0.0,0.0,1,0.028714331134411943,0.0
56,2015-03-27,0.0,0.0,1,0.027649780014861874,0.0
57,2015-03-30,0.0,0.0,-1,0.028846148805966178,0.0
58,2015-03-31,0.0,0.0,1,0.029018172589580865,0.0
59,2015-04-01,0.0,0.0,1,0.027933155023360294,0.0
60,2015-04-02,0.0,0.0,1,0.026620872795386243,0.0
61,2015-04-06,0.0,0.0,1,0.026639155240418655,0.0
62,2015-04-07,0.0,0.0,1,0.025362663457821413,0.0
63,2015-04-08,1.0,0.42926471462175525,1,0.02526818997240817,0.41227704247672503
64,2015-04-09,1.0,0.7800818860846623,-1,0.02459802194434652,-0.8117937926738569
65,2015-04-10,1.0,0.7401891933341734,-1,0.023555472789879184,-0.7716110959227558
66,2015-04-13,1.0,0.6281093402288949,-1,0.02265566149190679,-0.6558322834548094
67,2015-04-14,1.0,0.5145595049241717,-1,0.021814378825959577,-0.5381465124673028
68,2015-04-15,1.0,0.8573026132642788,-1,0.021307512933229626,-0.8975354824443404
69,2015-04-16,1.0,0.7718374955997535,-1,0.020364341146800614,-0.8097370569199432
70,2015-04-17,1.0,0.22628821252965772,1,0.02440103724112971,0.21701487972168018
71,2015-04-20,1.0,0.8271501070480761,1,0.02717048639576925,0.7967082646328276
72,2015-04-21,1.0,0.9552265302339454,1,0.02603759919705679,0.9185415103139062
73,2015-04-22,1.0,0.4613308579695689,1,0.025069953251331455,0.44292984810987923
74,2015-04-23,1.0,0.004939180294349919,1,0.02395208367278553,0.004732978021531008
75,2015-04-24,0.0,0.0,-1,0.024966843749980646,0.0
76,2015-04-27,0.0,0.0,-1,0.024165426882397496,0.0
77,2015-04-28,1.0,0.23299296338016076,-1,0.023345741658828214,-0.24297264134914442
78,2015-04-29,1.0,0.40094772927143685,-1,0.023431644920370514,-0.41805837685876424
79,2015-04-30,0.0,0.0,1,0.0269632754820491,0.0
80,2015-05-01,1.0,0.3178460716432767,-1,0.02857776507412659,-0.3289678283328628
81,2015-05-04,1.0,0.25536146010925453,-1,0.027184066304091817,-0.26475490639526994
82,2015-05-05,-1.0,0.11928574201696014,1,0.02993346672082019,-0.12327063819464931
83,2015-05-06,0.0,0.0,1,0.02905654264571935,0.0
84,2015-05-07,-1.0,0.1354315063104627,1,0.028359494805105964,-0.14020686397756799
85,2015-05-08,0.0,0.0,1,0.029370646479018412,0.0
86,2015-05-11,0.0,0.0,1,0.02819851006725053,0.0
87,2015-05-12,0.0,0.0,1,0.027126340625921713,0.0
88,2015-05-13,0.0,0.0,1,0.025863311707282843,0.0
89,2015-05-14,1.0,0.2305208250446993,1,0.028009120082456,0.22229091298555448
90,2015-05-15,0.0,0.0,1,0.026671016255045026,0.0
91,2015-05-18,0.0,0.0,-1,0.025501924296718645,0.0
92,2015-05-19,0.0,0.0,1,0.024357677928918534,0.0
93,2015-05-20,1.0,0.14848752531310067,1,0.023177545832726264,0.14208127677685953
94,2015-05-21,1.0,0.4456737020338029,-1,0.022347189652191787,-0.46561597516508957
95,2015-05-22,1.0,0.13225963203888352,-1,0.021375113787005223,-0.1384468947638455
96,2015-05-26,1.0,0.8087911680528884,1,0.023429274472897797,0.7742721030291974
97,2015-05-27,0.0,0.0,-1,0.026529240558449494,0.0
98,2015-05-28,0.0,0.0,-1,0.025503176981378016,0.0
99,2015-05-29,0.0,0.0,-1,0.025041013129633156,0.0
100,2015-06-01,0.0,0.0,-1,0.023912032199809707,0.0
101,2015-06-02,1.0,0.6559526057364699,-1,0.023009356481174432,-0.6844594481347234
102,2015-06-03,0.0,0.0,-1,0.02200075958244735,0.0
103,2015-06-04,0.0,0.0,-1,0.0221224876377695,0.0
104,2015-06-05,0.0,0.0,-1,0.021158400873258928,0.0
105,2015-06-08,0.0,0.0,1,0.022019991728011383,0.0
106,2015-06-09,0.0,0.0,1,0.02094820238366855,0.0
107,2015-06-10,0.0,0.0,-1,0.023846336600570967,0.0
108,2015-06-11,1.0,0.7694858573633432,-1,0.022736570385907238,-0.8033279013594014
109,2015-06-12,0.0,0.0,1,0.023020314394737285,0.0
110,2015-06-15,0.0,0.0,1,0.022197069614613766,0.0
111,2015-06-16,0.0,0.0,1,0.021810404765680507,0.0
112,2015-06-17,0.0,0.0,1,0.020943364663810762,0.0
113,2015-06-18,1.0,0.5433858807893408,-1,0.02368194479482183,-0.5663300663835305
114,2015-06-19,1.0,0.16045005051211475,1,0.02324718467103746,0.15354843420174524
115,2015-06-22,1.0,0.19098900209867758,-1,0.0230951206525504,-0.19925831299169924
116,2015-06-23,1.0,0.3410967579378337,-1,0.021973356685734496,-0.35661924912226367
117,2015-06-24,1.0,0.3530623107526153,-1,0.02169409292894599,-0.3693361433611658
118,2015-06-25,1.0,0.11129435288035279,-1,0.020799199855367722,-0.11664499151143459
119,2015-06-26,0.0,0.0,-1,0.020666828967702968,0.0
120,2015-06-29,0.0,0.0,1,0.028843565424029338,0.0
121,2015-06-30,0.0,0.0,-1,0.02800723859347694,0.0
122,2015-07-01,0.0,0.0,-1,0.027766710962461177,0.0
123,2015-07-02,0.0,0.0,-1,0.026490732505177344,0.0
124,2015-07-06,0.0,0.0,-1,0.02526385496863911,0.0
125,2015-07-07,0.0,0.0,-1,0.024152580426755926,0.0
126,2015-07-08,0.0,0.0,1,0.027128805307142668,0.0
127,2015-07-09,0.0,0.0,1,0.025830579277689832,0.0
128,2015-07-10,1.0,0.016995470865374666,1,0.029276671763870107,0.016414978297439403
129,2015-07-13,1.0,0.9627942547408399,1,0.0320161477570927,0.9327230484595885
130,2015-07-14,1.0,0.6160793145055447,1,0.030852395719645955,0.5961113563558602
131,2015-07-15,1.0,0.7009460047714392,1,0.02934678202356567,0.6770618828228506
132,2015-07-16,0.0,0.0,1,0.029723107019439764,0.0
133,2015-07-17,0.0,0.0,-1,0.03042664783565971,0.0
134,2015-07-20,0.0,0.0,-1,0.028942417839709546,0.0
135,2015-07-21,0.0,0.0,-1,0.027879912167955115,0.0
136,2015-07-22,0.0,0.0,-1,0.02955298169794079,0.0
137,2015-07-23,0.0,0.0,-1,0.028647079794492623,0.0
138,2015-07-24,0.0,0.0,1,0.02900804615514413,0.0
139,2015-07-27,0.0,0.0,1,0.02877878384690658,0.0
140,2015-07-28,0.0,0.0,1,0.028597784361492934,0.0
141,2015-07-29,0.0,0.0,-1,0.027357993275293077,0.0
142,2015-07-30,1.0,0.25212361347572365,-1,0.026251821290513993,-0.26172729037908277
143,2015-07-31,1.0,0.2077020659247119,-1,0.02504890901979751,-0.21599359567679843
144,2015-08-03,0.0,0.0,-1,0.024103255735323053,0.0
145,2015-08-04,0.0,0.0,1,0.023058925269125858,0.0
146,2015-08-05,0.0,0.0,-1,0.022953001930790015,0.0
147,2015-08-06,1.0,0.12365187977756538,1,0.02671063568845071,0.11902274058070861
148,2015-08-07,1.0,0.14655722050375625,1,0.02541561146526137,0.1407910222556512
149,2015-08-10,1.0,0.3950538554365073,-1,0.026464342479591826,-0.40998107036830517
150,2015-08-11,1.0,0.1942753497429744,1,0.027849248060596958,0.18729963630156204
151,2015-08-12,1.0,0.4104982106747883,-1,0.026702225650394252,-0.4258708183158703
152,2015-08-13,1.0,0.43108365317198455,1,0.025417425478220592,0.4141241584329673
153,2015-08-14,1.0,0.40919654229688673,1,0.024267870482746198,0.39233557867734775
154,2015-08-17,1.0,0.5891902219980397,-1,0.024325304658937442,-0.6134105148151641
155,2015-08-18,0.0,0.0,-1,0.02372791097237222,0.0
156,2015-08-19,0.0,0.0,-1,0.023256523944928078,0.0
157,2015-08-20,1.0,0.00608000012010612,-1,0.03280026470111403,-0.006265358830372545
158,2015-08-21,1.0,0.31488916494054153,-1,0.04657365828340045,-0.3216501198577947
159,2015-08-24,0.0,0.0,1,0.05322343432638881,0.0
160,2015-08-25,0.0,0.0,1,0.05087322598372351,0.0
161,2015-08-26,0.0,0.0,1,0.0710165747094586,0.0
162,2015-08-27,1.0,0.26630538438093476,-1,0.07278229244155235,-0.26996426508621185
163,2015-08-28,1.0,0.3227208488743515,-1,0.06923370096682165,-0.3273821075259777
164,2015-08-31,0.0,0.0,-1,0.06665052707653239,0.0
165,2015-09-01,0.0,0.0,1,0.06830791389857734,0.0
166,2015-09-02,0.0,0.0,1,0.07107479428260717,0.0
167,2015-09-03,0.0,0.0,1,0.06769115584776389,0.0
168,2015-09-04,0.0,0.0,1,0.06490488318257732,0.0
169,2015-09-08,-1.0,0.03637478706667306,-1,0.06788732460743455,0.035838983785666925
170,2015-09-09,0.0,0.0,1,0.06542202217176687,0.0
171,2015-09-10,-1.0,0.3845094659917141,-1,0.06312706121883817,0.37841852230410766
172,2015-09-11,0.0,0.0,-1,0.06024068788004809,0.0
173,2015-09-14,0.0,0.0,-1,0.05738845486038433,0.0
174,2015-09-15,0.0,0.0,-1,0.05555548136424538,0.0
175,2015-09-16,1.0,0.7456093044210341,-1,0.052984886759062856,-0.7596811516623847
176,2015-09-17,1.0,0.518044127147351,-1,0.05040365268930888,-0.5283218316747593
177,2015-09-18,1.0,0.6444955860010563,-1,0.050006085805606434,-0.65738367127174
178,2015-09-21,1.0,0.6172320722129285,-1,0.047628097245130376,-0.6301912108049588
179,2015-09-22,0.0,0.0,-1,0.04731097406267836,0.0
180,2015-09-23,1.0,0.12964271120410648,-1,0.04502440311994925,-0.13252203492406817
181,2015-09-24,1.0,0.1496508236847554,-1,0.0429100671567483,-0.15313828819217726
182,2015-09-25,0.0,0.0,-1,0.0412903995589681,0.0
183,2015-09-28,0.0,0.0,1,0.0461833203435626,0.0
184,2015-09-29,0.0,0.0,1,0.04393179569439993,0.0
185,2015-09-30,0.0,0.0,1,0.0481620346977978,0.0
186,2015-10-01,0.0,0.0,1,0.0461967656985588,0.0
187,2015-10-02,1.0,0.4032521390157827,1,0.047047628358012475,0.3946811741845177
188,2015-10-05,1.0,0.8946661087261789,1,0.04668695879140045,0.8755034352684785
189,2015-10-06,1.0,0.7152475115933979,1,0.04481145365808823,0.6992866022209583
190,2015-10-07,1.0,0.6955706166941614,1,0.042785914697157285,0.6793139966125931
191,2015-10-08,1.0,0.2821905807595253,1,0.040757145486406264,0.27526704247308287
192,2015-10-09,1.0,0.9538537250513853,1,0.038818304366349615,0.9292820914113392
193,2015-10-12,1.0,1.0,1,0.036929485268448296,0.9729220996493552
194,2015-10-13,1.0,0.7802104426724313,1,0.035989939636673095,0.7585324745352107
195,2015-10-14,1.0,0.4676057745023791,1,0.03432251831182418,0.4539822942328377
196,2015-10-15,0.0,0.0,1,0.035428744079698704,0.0
197,2015-10-16,1.0,0.6720957010345211,1,0.03373173016436166,0.6521715591770505
198,2015-10-19,1.0,1.0,-1,0.03222450704964314,-1.0310313193353176
199,2015-10-20,1.0,0.3499369292147635,1,0.03160008961557213,0.3388633575920203
200,2015-10-21,0.0,0.0,1,0.030818486787552883,0.0
201,2015-10-22,0.0,0.0,1,0.03365856392500011,0.0
202,2015-10-23,0.0,0.0,1,0.03893509458659619,0.0
203,2015-10-26,1.0,0.5892469830137707,1,0.037261268473302224,0.5734334803163716
204,2015-10-27,0.0,0.0,1,0.03554110534944864,0.0
205,2015-10-28,0.0,0.0,-1,0.0339085101428422,0.0
206,2015-10-29,0.0,0.0,-1,0.03275640066781433,0.0
207,2015-10-30,0.0,0.0,1,0.03221392762932682,0.0
208,2015-11-02,0.0,0.0,-1,0.03142833976269722,0.0
209,2015-11-03,0.0,0.0,-1,0.029913620683752397,0.0
210,2015-11-04,0.0,0.0,-1,0.028696205742477797,0.0
211,2015-11-05,0.0,0.0,-1,0.027977816340380657,0.0
212,2015-11-06,0.0,0.0,-1,0.026680541073486448,0.0
213,2015-11-09,0.0,0.0,-1,0.028253236539789405,0.0
214,2015-11-10,0.0,0.0,-1,0.027123513292980593,0.0
215,2015-11-11,0.0,0.0,-1,0.02592315679433747,0.0
216,2015-11-12,1.0,0.6395728860774028,-1,0.026493489371749463,-0.6637127318054494
217,2015-11-13,0.0,0.0,1,0.030819341600268352,0.0
218,2015-11-16,0.0,0.0,1,0.032581389589292506,0.0
219,2015-11-17,0.0,0.0,1,0.03102028053130324,0.0
220,2015-11-18,0.0,0.0,1,0.03427647247778509,0.0
221,2015-11-19,0.0,0.0,1,0.032619696370870824,0.0
222,2015-11-20,0.0,0.0,-1,0.031366921269754024,0.0
223,2015-11-23,0.0,0.0,-1,0.030137435661262,0.0
224,2015-11-24,0.0,0.0,1,0.028763180345947294,0.0
225,2015-11-25,0.0,0.0,-1,0.027364217491837595,0.0
226,2015-11-27,0.0,0.0,-1,0.026028615379969162,0.0
227,2015-11-30,0.0,0.0,1,0.024943894231719027,0.0
228,2015-12-01,0.0,0.0,-1,0.02506962420467265,0.0
229,2015-12-02,0.0,0.0,-1,0.02487947235597487,0.0
230,2015-12-03,0.0,0.0,1,0.028737067127173214,0.0
231,2015-12-04,1.0,0.11769457606705887,-1,0.034653452819338744,-0.12109080848430771
232,2015-12-07,1.0,0.20644578686921816,-1,0.03335458514459873,-0.21263502881998178
233,2015-12-08,0.0,0.0,-1,0.03173955117941336,0.0
234,2015-12-09,0.0,0.0,-1,0.03365703949093667,0.0
235,2015-12-10,0.0,0.0,-1,0.03237815226710176,0.0
236,2015-12-11,0.0,0.0,1,0.03701906025840523,0.0
237,2015-12-14,1.0,0.17858709495126185,1,0.036299922070781546,0.17366746523488596
238,2015-12-15,0.0,0.0,1,0.035105314264871255,0.0
239,2015-12-16,1.0,0.7353572272592477,-1,0.03618002052789676,-0.7556816187918819
240,2015-12-17,0.0,0.0,-1,0.03687574207506781,0.0
